timestamp,device_id,voltage,min_val,max_val,level,decibel,status
1776779891,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779894,pico_1,0.0097,1984,2176,192,-50.66,VARNING
1776779896,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779898,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779900,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779902,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779904,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779906,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779908,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779910,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779913,pico_1,0.0024,2112,2160,48,-62.7,OK
1776779915,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779917,pico_1,0.004,2112,2192,80,-58.27,OK
1776779919,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779921,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779923,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779925,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779927,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779929,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779932,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779934,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779936,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779938,pico_1,0.004,2096,2176,80,-58.27,OK
1776779940,pico_1,0.0024,2128,2176,48,-62.7,OK
1776779942,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779944,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779946,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779948,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779951,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779953,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779955,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779957,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779959,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779961,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779963,pico_1,0.0024,2128,2176,48,-62.7,OK
1776779965,pico_1,0.0024,2128,2176,48,-62.7,OK
1776779967,pico_1,0.0032,2112,2176,64,-60.21,OK
